term	flynn	franco	gonzalez	green	mummucari	scialo	total	present
aging	68	5	119	21	50	166	429	6
death	15	40	5	23	49	7	139	6
regulation_of_pH	13	15	20	3	44	33	128	6
cell_death	9	37	5	23	46	4	124	6
IP_10_production	10	17	22	7	20	39	115	6
signaling	7	10	22	13	15	30	97	6
cellularization	12	8	20	7	9	28	84	6
response_to_GW_7647	6	7	15	7	24	19	78	6
response_to_pH	6	7	15	7	24	19	78	6
response_to_UV	6	7	15	7	24	19	78	6
response_to_UV_A	6	7	15	7	24	19	78	6
response_to_UV_B	6	7	15	7	24	19	78	6
response_to_UV_C	6	7	15	7	24	19	78	6
R1/R6_development	11	10	3	1	7	5	37	6
R2/R5_development	11	10	3	1	7	5	37	6
R3/R4_development	11	10	3	1	7	5	37	6
UV_protection	8	7	6	4	6	6	37	6
response_to_reactive_oxygen_species	5	4	8	2	4	13	36	6
transport	5	7	9	1	6	7	35	6
B_cell_activation	3	11	2	4	8	1	29	6
cell_activation	3	11	2	4	8	1	29	6
NK_T_cell_activation	3	11	2	4	8	1	29	6
T_cell_activation	3	11	2	4	8	1	29	6
phosphorylation	4	6	7	3	6	2	28	6
pH_reduction	7	2	4	1	1	12	27	6
protein_lipidation	5	6	2	1	1	4	19	6
oxidative_phosphorylation	3	4	4	1	3	2	17	6
pH_elevation	5	1	5	1	4	1	17	6
protein_C_(activated)_activity	1	2	5	5	2	2	17	6
response_to_activity	1	2	1	4	3	2	13	6
regulation_of_mitochondrial_membrane_potential	1	2	1	2	4	1	11	6
activation_induced_cell_death_of_T_cells	3	16	0	4	17	2	42	5
cell_aging	3	0	7	8	5	16	39	5
cytochrome	1	14	4	0	5	6	30	5
cytochrome_a	1	14	4	0	5	6	30	5
cytochrome_b	1	14	4	0	5	6	30	5
cytochrome_b/b6	1	14	4	0	5	6	30	5
cytochrome_b5	1	14	4	0	5	6	30	5
cytochrome_b6	1	14	4	0	5	6	30	5
cytochrome_c	1	14	4	0	5	6	30	5
cytochrome_c1	1	14	4	0	5	6	30	5
cytochrome_c554	1	14	4	0	5	6	30	5
cytochrome_d	1	14	4	0	5	6	30	5
cytochrome_f	1	14	4	0	5	6	30	5
cytochrome_P450	1	14	4	0	5	6	30	5
regulation_of_response_to_reactive_oxygen_species	4	4	7	0	3	11	29	5
electron_transport	3	4	8	0	5	7	27	5
pathogenesis	3	18	3	2	1	0	27	5
protein_oxidation	9	3	7	0	3	5	27	5
aerobic_electron_transport_chain	3	4	6	0	5	6	24	5
anaerobic_electron_transport_chain	3	4	6	0	5	6	24	5
electron_transport_chain	3	4	6	0	5	6	24	5
mitochondrial_transport	2	5	7	0	5	5	24	5
photosynthetic_electron_transport_chain	3	4	6	0	5	6	24	5
respiratory_electron_transport_chain	3	5	3	0	5	6	22	5
G0_to_G1_transition	0	3	6	3	6	2	20	5
G1_to_G0_transition	0	3	6	3	6	2	20	5
lipid_oxidation	5	4	2	0	2	3	16	5
cellular_response_to_oxidative_stress	4	0	1	2	5	3	15	5
sensitization	1	4	2	0	5	3	15	5
cell_death_in_response_to_oxidative_stress	1	4	0	0	6	3	14	5
response_to_stress	1	0	2	2	5	4	14	5
cellular_homeostasis	1	1	7	0	1	1	11	5
gene_expression	3	0	3	2	2	1	11	5
cell_cell_signaling	0	2	2	2	3	2	11	5
mitochondrial_inner_membrane_fusion	0	2	5	2	1	1	11	5
cell_cycle	0	2	1	1	3	3	10	5
cellular_process	2	2	1	1	0	3	9	5
inner_mitochondrial_membrane_organization	0	3	3	1	1	1	9	5
methylation	2	3	1	1	1	0	8	5
regulation_of_cellular_pH	1	1	1	0	1	4	8	5
stress_induced_mitochondrial_fusion	1	0	2	2	1	2	8	5
growth	0	1	1	2	2	1	7	5
autophagy	0	12	9	61	135	0	217	4
"Mn,_Fe_superoxide_dismutase"	39	0	1	0	1	14	55	4
localization	8	5	0	0	9	3	25	4
outer_mitochondrial_membrane_organization	0	7	6	4	2	0	19	4
regulation_of_autophagy	0	1	1	2	14	0	18	4
senescence	1	0	7	0	4	5	17	4
induction_of_programmed_cell_death	0	8	0	5	2	1	16	4
mitochondrial_outer_membrane_fusion	0	5	4	5	2	0	16	4
enzyme_activator_activity	2	3	0	0	1	9	15	4
caspase_1_activity	0	7	0	4	1	3	15	4
caspase_10_activity	0	7	0	4	1	3	15	4
caspase_2_activity	0	7	0	4	1	3	15	4
caspase_3_activity	0	7	0	4	1	3	15	4
caspase_4_activity	0	7	0	4	1	3	15	4
caspase_5_activity	0	7	0	4	1	3	15	4
caspase_6_activity	0	7	0	4	1	3	15	4
caspase_7_activity	0	7	0	4	1	3	15	4
caspase_8_activity	0	7	0	4	1	3	15	4
caspase_9_activity	0	7	0	4	1	3	15	4
caspase_activity	0	7	0	4	1	3	15	4
mitochondrial_fission	0	7	1	1	5	0	14	4
mitochondrial_fusion	0	7	2	4	1	0	14	4
mitochondrial_outer_membrane_permeabilization	0	6	2	4	1	0	13	4
cellular_response_to_GW_7647	0	0	4	3	1	5	13	4
cellular_response_to_pH	0	0	4	3	1	5	13	4
cellular_response_to_UV	0	0	4	3	1	5	13	4
cellular_response_to_UV_A	0	0	4	3	1	5	13	4
cellular_response_to_UV_B	0	0	4	3	1	5	13	4
cellular_response_to_UV_C	0	0	4	3	1	5	13	4
